Sale_ID,Product_Name,Product_Category,Store_Name,Store_City,Store_Location,Store_Open_Date,Date,Stock_On_Hand,Total_Units,Revenue
1,Chutes & Ladders,Games,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,2010-07-31T00:00:00.0000000,2022-01-01T00:00:00.0000000,3,2,25.98
1,Chutes & Ladders,Games,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,2010-07-31T00:00:00.0000000,2022-01-01T00:00:00.0000000,19,3,38.97
1,Chutes & Ladders,Games,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,2010-07-31T00:00:00.0000000,2022-01-01T00:00:00.0000000,25,1,12.99
1,Chutes & Ladders,Games,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,2010-07-31T00:00:00.0000000,2022-01-01T00:00:00.0000000,27,1,12.99
2,Action Figure,Toys,Maven Toys Puebla 2,Puebla,Downtown,2011-04-01T00:00:00.0000000,2022-01-01T00:00:00.0000000,2,1,15.99
2,Action Figure,Toys,Maven Toys Puebla 2,Puebla,Downtown,2011-04-01T00:00:00.0000000,2022-01-01T00:00:00.0000000,3,2,31.98
2,Action Figure,Toys,Maven Toys Puebla 2,Puebla,Downtown,2011-04-01T00:00:00.0000000,2022-01-01T00:00:00.0000000,19,2,31.98
2,Action Figure,Toys,Maven Toys Puebla 2,Puebla,Downtown,2011-04-01T00:00:00.0000000,2022-01-01T00:00:00.0000000,27,1,15.99
3,Deck Of Cards,Games,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13T00:00:00.0000000,2022-01-01T00:00:00.0000000,2,3,20.97
3,Deck Of Cards,Games,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13T00:00:00.0000000,2022-01-01T00:00:00.0000000,3,2,13.98
3,Deck Of Cards,Games,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13T00:00:00.0000000,2022-01-01T00:00:00.0000000,14,1,6.99
3,Deck Of Cards,Games,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13T00:00:00.0000000,2022-01-01T00:00:00.0000000,22,1,6.99
3,Deck Of Cards,Games,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13T00:00:00.0000000,2022-01-01T00:00:00.0000000,32,1,6.99
